biol_site_id,SAMPLE_ID,SAMPLE_DATE,SAMPLE_TYPE_DESCRIPTION,SAMPLE_METHOD_DESCRIPTION,SAMPLE_REASON,ANALYSIS_ID,DATE_OF_ANALYSIS,ANALYSIS_TYPE_DESCRIPTION,ANALYSIS_METHOD_DESCRIPTION,BMWP_N_TAXA,BMWP_TOTAL,BMWP_ASPT,CCI_N_TAXA,CCI_CS_TOTAL,CCI_ASPT,CSmax_CoS,BMWP_CoS,CCI_CoS,CCI,DEHLI_N_TAXA,DIS_TOTAL,DEHLI,EPSI_ML_S_GRP,EPSI_ML_ALL_GRP,EPSI_MIXED_LEVEL_SCORE,EPSI_S_GRP,EPSI_ALL_GRP,EPSI_FAMILY_SCORE,LIFE_N_TAXA,LIFE_SCORES_TOTAL,LIFE_FAMILY_INDEX,LIFE_SPECIES_N_TAXA,LIFE_SPECIES_SCORES_TOTAL,LIFE_SPECIES_INDEX,PSI_ML_AB,PSI_ML_ABCD,PSI_MIXED_LEVEL_SCORE,PSI_AB,PSI_ABCD,PSI_FAMILY_SCORE,WHPT_N_TAXA,WHPT_TOTAL,WHPT_ASPT,WHPT_NW_N_TAXA,WHPT_NW_TOTAL,WHPT_NW_ASPT
56226,748916,07/11/2016,FRESHWATER: INVERTEBRATE All macroinvertebrate samples,"3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001",National Monitoring,735729,11/11/2016,LABORATORY PRIMARY: Analysed in laboratory by primary analyst,LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001),26,145,5.58,22,30,1.36,5,5,5,6.82,25,125,5,12.5,18.98,65.86,6.55,11.38,57.56,25,173,6.92,27,199,7.37,27,57,47.37,23,46,50,29,160.4,5.53,29,160.8,5.54
56226,756078,10/04/2017,FRESHWATER: INVERTEBRATE All macroinvertebrate samples,"3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001",National Monitoring,742541,10/05/2017,LABORATORY PRIMARY: Analysed in laboratory by primary analyst,LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001),24,140,5.83,20,25,1.25,1,5,5,6.25,23,115,5,16.5,22.74,72.56,9.04,12.66,71.41,22,159,7.23,27,208,7.7,34,62,54.84,29,50,58,27,158.2,5.86,27,157.2,5.82
56226,757560,12/06/2017,FRESHWATER: INVERTEBRATE All macroinvertebrate samples,"3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001",National Monitoring,743979,14/06/2017,LABORATORY PRIMARY: Analysed in laboratory by primary analyst,LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001),17,98,5.76,14,17,1.21,3,3,3,3.64,18,102,5.67,8.88,13.29,66.82,6.01,9.39,64,15,113,7.53,17,128,7.53,18,36,50,21,34,61.76,19,110.3,5.81,19,111.2,5.85
56226,759282,11/08/2017,FRESHWATER: INVERTEBRATE All macroinvertebrate samples,"3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001",National Monitoring,746924,24/08/2017,LABORATORY PRIMARY: Analysed in laboratory by primary analyst,LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001),21,108,5.14,17,20,1.18,3,5,5,5.88,23,120,5.22,14.89,19.42,76.67,8.29,11.92,69.55,21,157,7.48,24,187,7.79,31,54,57.41,29,50,58,27,143.4,5.31,27,142.3,5.27
56226,761902,09/10/2017,FRESHWATER: INVERTEBRATE All macroinvertebrate samples,"3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001",National Monitoring,748784,10/10/2017,LABORATORY PRIMARY: Analysed in laboratory by primary analyst,LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001),28,159,5.68,30,59,1.97,10,7,10,19.67,31,157,5.06,19.5,27.7,70.4,9.05,13.9,65.11,28,199,7.11,36,270,7.5,39,77,50.65,31,58,53.45,34,193.5,5.69,34,192.9,5.67
56226,764904,07/12/2017,FRESHWATER: INVERTEBRATE All macroinvertebrate samples,"3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001",National Monitoring,752121,15/12/2017,LABORATORY PRIMARY: Analysed in laboratory by primary analyst,LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001),22,124,5.64,22,31,1.41,5,5,5,7.05,26,133,5.12,18.39,23.89,76.98,10.05,13.69,73.41,22,163,7.41,29,221,7.62,35,66,53.03,28,51,54.9,27,154,5.7,27,154,5.7
56226,769180,20/04/2018,FRESHWATER: INVERTEBRATE All macroinvertebrate samples,"3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001",National Monitoring,757660,01/05/2018,LABORATORY PRIMARY: Analysed in laboratory by primary analyst,LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001),22,120,5.45,20,28,1.4,5,5,5,7,24,116,4.83,13.63,19.39,70.29,7.79,11.42,68.21,21,152,7.24,24,186,7.75,29,54,53.7,24,44,54.55,27,148.3,5.49,27,150.1,5.56
56226,782753,05/09/2018,FRESHWATER: INVERTEBRATE All macroinvertebrate samples,"3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001",National Monitoring,770708,07/09/2018,LABORATORY PRIMARY: Analysed in laboratory by primary analyst,LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001),19,108,5.68,14,19,1.36,3,5,5,6.79,19,103,5.42,9.87,13.05,75.63,6.02,8.93,67.41,17,128,7.53,20,156,7.8,24,41,58.54,23,35,65.71,22,131.1,5.96,22,131.2,5.96
56226,785281,05/10/2018,FRESHWATER: INVERTEBRATE All macroinvertebrate samples,"3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001",National Monitoring,772481,09/10/2018,LABORATORY PRIMARY: Analysed in laboratory by primary analyst,LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001),22,123,5.59,20,29,1.45,5,5,5,7.25,21,108,5.14,15.89,20.78,76.47,7.8,12.39,62.95,21,149,7.1,28,214,7.64,36,61,59.02,25,45,55.56,25,143.5,5.74,25,142.5,5.7
56226,787581,15/11/2018,FRESHWATER: INVERTEBRATE All macroinvertebrate samples,"3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001",National Monitoring,775220,23/11/2018,LABORATORY PRIMARY: Analysed in laboratory by primary analyst,LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001),22,125,5.68,21,34,1.62,5,5,5,8.1,24,126,5.25,13.64,18.54,73.57,6.04,9.68,62.4,22,156,7.09,29,218,7.52,28,52,53.85,23,40,57.5,25,139.3,5.57,25,141.4,5.66
56226,789974,14/01/2019,FRESHWATER: INVERTEBRATE All macroinvertebrate samples,"3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001",National Monitoring,780417,16/01/2019,LABORATORY PRIMARY: Analysed in laboratory by primary analyst,LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001),23,116,5.04,21,26,1.24,3,5,5,6.19,24,115,4.79,10.75,15.63,68.78,5.77,9.42,61.25,23,161,7,26,188,7.23,22,50,44,19,45,42.22,27,139.3,5.16,27,138.6,5.13
56226,791861,11/03/2019,FRESHWATER: INVERTEBRATE All macroinvertebrate samples,"3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001",National Monitoring,785163,12/03/2019,LABORATORY PRIMARY: Analysed in laboratory by primary analyst,LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001),21,117,5.57,20,29,1.45,5,5,5,7.25,24,121,5.04,14.26,19.16,74.43,7.05,10.2,69.12,20,145,7.25,26,203,7.81,33,55,60,25,42,59.52,26,148.3,5.7,26,150.9,5.8
56226,795661,08/05/2019,FRESHWATER: INVERTEBRATE All macroinvertebrate samples,"3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001",National Monitoring,788121,16/05/2019,LABORATORY PRIMARY: Analysed in laboratory by primary analyst,LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001),24,138,5.75,20,31,1.55,5,5,5,7.75,21,103,4.9,15.13,20.89,72.43,8.03,11.17,71.89,22,156,7.09,26,198,7.62,32,58,55.17,26,45,57.78,26,152.4,5.86,26,149.9,5.77
56226,799189,17/07/2019,FRESHWATER: INVERTEBRATE All macroinvertebrate samples,"3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001",National Monitoring,790583,30/07/2019,LABORATORY PRIMARY: Analysed in laboratory by primary analyst,LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001),22,115,5.23,19,27,1.42,3,5,5,7.11,21,119,5.67,10.88,14.43,75.4,6.28,9.19,68.34,22,156,7.09,25,185,7.4,22,43,51.16,23,41,56.1,26,139.9,5.38,26,138.2,5.32
56226,801712,10/09/2019,FRESHWATER: INVERTEBRATE All macroinvertebrate samples,"3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001",National Monitoring,793160,19/09/2019,LABORATORY PRIMARY: Analysed in laboratory by primary analyst,LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001),18,92,5.11,15,19,1.27,3,3,3,3.8,19,100,5.26,10,13.68,73.1,6.78,9.44,71.82,16,118,7.38,18,138,7.67,21,41,51.22,22,34,64.71,21,117.5,5.6,21,113.6,5.41
56226,805011,19/11/2019,FRESHWATER: INVERTEBRATE All macroinvertebrate samples,"3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001",National Monitoring,795466,21/11/2019,LABORATORY PRIMARY: Analysed in laboratory by primary analyst,LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001),27,140,5.19,21,27,1.29,3,5,5,6.43,23,109,4.74,12.64,19.5,64.82,7.79,12.91,60.34,25,175,7,30,224,7.47,28,59,47.46,24,48,50,29,151,5.21,29,147.7,5.09
56226,806491,23/01/2020,FRESHWATER: INVERTEBRATE All macroinvertebrate samples,"3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001",National Monitoring,797881,31/01/2020,LABORATORY PRIMARY: Analysed in laboratory by primary analyst,LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001),21,108,5.14,16,19,1.19,1,5,5,5.94,23,111,4.83,14.25,19.77,72.08,7.8,11.92,65.44,22,163,7.41,23,181,7.87,29,56,51.79,27,51,52.94,24,126.3,5.26,24,126.3,5.26
56226,816061,07/10/2020,FRESHWATER: INVERTEBRATE All macroinvertebrate samples,"3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001",National Monitoring,815882,05/11/2020,LABORATORY PRIMARY: Analysed in laboratory by primary analyst,LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001),25,144,5.76,17,19,1.12,1,5,5,5.59,27,138,5.11,13.63,20.25,67.31,8.56,13.41,63.83,26,190,7.31,24,183,7.63,25,55,45.45,30,57,52.63,30,163.2,5.44,30,167.3,5.58
56491,609157,24/05/2010,FRESHWATER: INVERTEBRATE All macroinvertebrate samples,"3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001",National Monitoring,601670,19/07/2010,LABORATORY PRIMARY: Analysed in laboratory by primary analyst,LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001),22,133,6.05,18,20,1.11,1,5,5,5.56,17,92,5.41,11.26,15.3,73.59,7.26,10.4,69.81,21,155,7.38,23,179,7.78,23,45,51.11,26,42,61.9,25,147.7,5.91,25,150,6
56491,611085,26/07/2010,FRESHWATER: INVERTEBRATE All macroinvertebrate samples,"3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001",National Monitoring,601969,27/07/2010,LABORATORY PRIMARY: Analysed in laboratory by primary analyst,LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001),18,101,5.61,16,28,1.75,5,5,5,8.75,14,83,5.93,15.76,18.33,85.98,9.02,11.67,77.29,17,133,7.82,21,171,8.14,32,46,69.57,28,39,71.79,22,132.8,6.04,22,132.9,6.04
56491,614854,05/10/2010,FRESHWATER: INVERTEBRATE All macroinvertebrate samples,"3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001",National Monitoring,606837,13/12/2010,LABORATORY PRIMARY: Analysed in laboratory by primary analyst,LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001),27,159,5.89,30,56,1.87,7,7,7,13.07,29,144,4.97,21,28.72,73.12,9.27,16.08,57.65,28,197,7.04,37,272,7.35,36,73,49.32,28,58,48.28,34,207.3,6.1,34,202.3,5.95
56491,621624,05/04/2011,FRESHWATER: INVERTEBRATE All macroinvertebrate samples,"3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001",National Monitoring,612468,11/04/2011,LABORATORY PRIMARY: Analysed in laboratory by primary analyst,LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001),22,131,5.95,23,34,1.48,3,5,5,7.39,18,94,5.22,14.63,19.63,74.53,9.03,12.42,72.71,21,160,7.62,26,202,7.77,28,50,56,26,41,63.41,26,162.2,6.24,26,162.1,6.23
56491,625187,08/06/2011,FRESHWATER: INVERTEBRATE All macroinvertebrate samples,"3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001",National Monitoring,614930,10/06/2011,LABORATORY PRIMARY: Analysed in laboratory by primary analyst,LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001),20,118,5.9,17,18,1.06,1,5,5,5.29,15,84,5.6,13.26,17.91,74.04,8.77,12.88,68.09,19,147,7.74,23,181,7.87,27,48,56.25,26,42,61.9,23,138.6,6.03,23,138.6,6.03
56491,627621,08/08/2011,FRESHWATER: INVERTEBRATE All macroinvertebrate samples,"3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001",National Monitoring,617763,12/08/2011,LABORATORY PRIMARY: Analysed in laboratory by primary analyst,LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001),22,134,6.09,23,45,1.96,5,5,5,9.78,20,111,5.55,20.63,25.41,81.19,11.52,16.11,71.51,21,165,7.86,27,219,8.11,36,59,61.02,33,48,68.75,26,164.6,6.33,26,159,6.12
56491,630857,11/10/2011,FRESHWATER: INVERTEBRATE All macroinvertebrate samples,"3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001",National Monitoring,619643,14/10/2011,LABORATORY PRIMARY: Analysed in laboratory by primary analyst,LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001),22,129,5.86,20,36,1.8,5,5,5,9,20,108,5.4,16.63,22.02,75.52,10.03,14.86,67.5,21,158,7.52,27,213,7.89,29,51,56.86,26,44,59.09,27,166.6,6.17,27,163,6.04
56491,633497,09/12/2011,FRESHWATER: INVERTEBRATE All macroinvertebrate samples,"3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001",National Monitoring,622037,12/12/2011,LABORATORY PRIMARY: Analysed in laboratory by primary analyst,LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001),24,150,6.25,19,26,1.37,3,5,5,6.84,21,117,5.57,15.01,19.54,76.82,10.79,15.13,71.32,24,183,7.63,27,214,7.93,30,55,54.55,33,48,68.75,26,173.3,6.67,26,169.7,6.53
56491,634741,09/02/2012,FRESHWATER: INVERTEBRATE All macroinvertebrate samples,"3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001",National Monitoring,625198,17/02/2012,LABORATORY PRIMARY: Analysed in laboratory by primary analyst,LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001),18,96,5.33,15,19,1.27,1,3,3,3.8,16,87,5.44,13.63,18.78,72.58,8.03,12.85,62.49,16,127,7.94,20,164,8.2,26,45,57.78,25,41,60.98,21,125.7,5.99,21,123.9,5.9
56491,635753,10/04/2012,FRESHWATER: INVERTEBRATE All macroinvertebrate samples,"3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001",National Monitoring,626118,13/04/2012,LABORATORY PRIMARY: Analysed in laboratory by primary analyst,LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001),20,116,5.8,16,22,1.38,5,5,5,6.88,20,103,5.15,14,19.76,70.85,8.03,13.35,60.15,21,156,7.43,21,167,7.95,25,49,51.02,28,48,58.33,25,146.7,5.87,25,145.9,5.84
56491,638555,27/06/2012,FRESHWATER: INVERTEBRATE All macroinvertebrate samples,"3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001",National Monitoring,627666,02/07/2012,LABORATORY PRIMARY: Analysed in laboratory by primary analyst,LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001),19,111,5.84,16,21,1.31,5,5,5,6.56,14,80,5.71,7.88,12.66,62.24,5.76,10.57,54.49,17,129,7.59,20,153,7.65,19,40,47.5,20,38,52.63,21,119.9,5.71,21,124.9,5.95
56491,640611,29/08/2012,FRESHWATER: INVERTEBRATE All macroinvertebrate samples,"3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001",National Monitoring,629367,07/09/2012,LABORATORY PRIMARY: Analysed in laboratory by primary analyst,LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001),18,100,5.56,15,19,1.27,1,3,3,3.8,13,68,5.23,10.5,15.77,66.58,8.51,12.86,66.17,16,126,7.88,18,140,7.78,19,40,47.5,24,39,61.54,20,117,5.85,20,117.1,5.86
